1;sedan_ECONOMICO;1.2;0.8;100000;500000;5000000;200000;2
2;sedan_INTERMEDIO;1.1;0.9;130000;650000;6500000;260000;3
3;sedan_PREMIUM;1.3;0.7;175000;875000;8750000;350000;0
4;suv_ECONOMICO;1.2;0.8;125000;625000;6250000;250000;5
5;suv_INTERMEDIO;1.1;0.9;240000;1200000;12000000;480000;6
6;suv_PREMIUM;1.4;0.9;350000;1750000;17500000;700000;0
7;pickup_ECONOMICO;1.1;0.8;125000;625000;6250000;250000;8
8;pickup_INTERMEDIO;1.2;0.9;275000;1375000;13750000;550000;9
9;pickup_PREMIUM;1.5;0.9;400000;2000000;20000000;800000;0

