1;20240321;20240322;1200;1200;EnLimpieza
2;20231106;20231107;2148;2148;EnMantenimiento
3;20231212;20231213;1200;1200;EnLimpieza
4;20231016;20231026;1;1;EnMantenimiento
5;20231026;20231027;1;1;EnLimpieza
6;20231106;20231107;2242;2242;EnTraslado
7;20231113;20231114;2030;300;EnLimpieza
8;20231113;20231213;1901;1901;EnMantenimiento
9;20231213;20231214;1901;1901;EnLimpieza
10;20231115;20231120;1758;1758;EnMantenimiento
11;20231120;20231121;1758;1758;EnLimpieza
12;20231130;20231201;1206;1206;EnLimpieza
13;20231130;20231230;1324;1324;EnMantenimiento
14;20231230;20231231;1324;1324;EnLimpieza
15;20231204;20240103;16;16;EnMantenimiento
16;20240103;20240104;16;16;EnLimpieza
