3;sedan_PREMIUM;5;1.3;0.7;175000;875000;8750000;350000;0
2;sedan_INTERMEDIO;5;1.1;0.9;130000;650000;6500000;260000;3
1;sedan_ECONOMICO;5;1.2;0.8;100000;500000;5000000;200000;2
6;suv_PREMIUM;7;1.4;0.9;350000;1750000;17500000;700000;0
5;suv_INTERMEDIO;7;1.1;0.9;240000;1200000;12000000;480000;6
4;suv_ECONOMICO;5;1.2;0.8;125000;625000;6250000;250000;5
9;pickup_PREMIUM;5;1.5;0.9;400000;2000000;20000000;800000;0
8;pickup_INTERMEDIO;5;1.2;0.9;275000;1375000;13750000;550000;9
7;pickup_ECONOMICO;2;1.1;0.8;125000;625000;6250000;250000;8

